Item Number	Name	Summary	Inventory Enforce	Inventory Level	Inventory Minimum Level	Weight	Units	Image URL	Thumbnail URL	Variation #1	Tag	By-Line	Text	Feature #1	Feature #2	Feature #3	Feature #4	Feature #5	Feature #6	Feature #7	Feature #8	Feature #9	Feature #10	Feature #11	Feature #12	Specification #1	Specification #2	Specification #3	Specification #4	Specification #5	Specification #6	Specification #7	Specification #8	Specification #9	Specification #10	Specification #11	Specification #12	Keywords	UPC	ISBN	Related Item #1	Related Item #2	Related Item #3	Related Item #4	Related Item #5	Related Item #6	Delete	Price (Standard Pricing-USD)	Sale Price (Standard Pricing-USD)	Available (Standard Pricing-USD)	On Sale (Standard Pricing-USD)	Featured (Standard Pricing-USD)	Tax Free (Standard Pricing-USD)	Extra Shipping (Standard Pricing-USD)
CK0	Knork Knife-Fork Combination	The Knork is a simple, single utensil that functions as a knife and fork together as one.	F	0	0	0		/members/270651/uploaded/KNORk-3.jpg		N=Finish;C=Matte[I=*44];C=Gloss[I=*45]		Cuts through food with a rocking motion. 	The <b>Knork</b> is a simple, single utensil that functions as a knife and fork together as one. Its innovative shape has a balanced handle that provides stability and comfort. This design enables you to more easily cut food by using a rocking motion on the gently curved outside tines.  <br><br> Unlike a knife, the <b>Knork</b> cuts through food with a rocking motion which is facilitated by a finger platform on both sides of the handle. Knorks are symmetric and can be used by both left-handers and right-handers.  <br><br> The KNORK® can be used as an eating aid for people with limited hand mobility, from temporary injuries to permanent conditions such as stroke, Parkinsons or other neurological impairments.  <br><br> The <b>Knork</b> is 100% forged 18/10 stainless steel which makes it durable, and dishwasher safe.	Forged 18/10 stainless steel.	Finger platform on both sides of the handle.	Functions as a knife and fork. 	Cuts through food with a rocking motion.																					knork, knife and fork, knife fork combination, knorks for in home care, stroke, elderly eating, Parkinson's, disabled, handicapped, geriatric feeding, caregiver aids, products, utensils, devices, supplies, bedridden, knork flatware, silverware			Caregiver Eating Utensils;L;/site/270651/page/911643	No Slip Scoop Plate;P;CFP161	Adult Bibs;P;CIB				N	5.95	4.95	T	F	F	F	0.00
CK001	Knork 5 piece set	Unlike a knife, the knork cuts through food with a rocking motion which is facilitated by a finger platform on both sides of the handle.	F	0	0	0		/members/270651/uploaded/knork-set-gloss.gif				Knorks are symmetric and can be used by both left-handers and right-handers.	The <b>KNORK®</b> can be used as an eating aid for people with limited hand mobility, from temporary injuries to permanent conditions such as stroke, Parkinson’s and other neurological impairments.  <br><br> <b>KNORK®</b> looks like a normal eating utensil and attracts no attention when using it. People who would otherwise require that their food be cut for them-- or else limit their meal choices-- can gain increased independence by using the KNORK®.  <br><br> Because of KNORK®’s rising popularity with people who have disabilities, <b>KNORK®s</b> are slowly infiltrating hospital rehabilitation units and cafeterias across the country.  <br><br> Unlike a knife, the knork cuts through food with a rocking motion which is facilitated by a finger platform on both sides of the handle. Knorks are symmetric and can be used by both left-handers and right-handers.  <br><br> <b>**Available only in the polished, gloss finish.</b>	Eating aid for people with limited hand mobility.	Looks like a normal eating utensil.	Cuts through food with a rocking motion. 																						knork set, knork 5 piece setting, knork flatware, silverware, knork spoon, fork, knife, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, utensils, devices supplies, products, bedridden			No Spill Cup Holder;P;CFP131	Caregiver Eating Utensils;L;/site/270651/page/911643	Non Skid Divided Plate;P;CFP171				N	22.95	18.95	T	F	F	F	0.00
CK04	4 Pack of Knorks	Knorks look like a normal eating utensil.	F	0	0	0		/members/270651/uploaded/Knork-4-gloss.gif		N=Finish;C=Gloss[I=*1];C=Matte[I=*2]		Save when buying the 4 pack of Knorks. 	The <b>KNORK®</b> can be used as an eating aid for people with limited hand mobility, from temporary injuries to permanent conditions such as stroke, Parkinson’s, and other neurological impairments.  <br><br> <b>KNORK®</b> looks like a normal eating utensil and attracts no attention when using it. People who would otherwise require that their food be cut for them-- or else limit their meal choices-- can gain increased independence by using the KNORK®.  <br><br> Because of <b>KNORK®'s</b> rising popularity with people with disabilities, KNORK®s are slowly infiltrating hospital rehabilitation units and cafeterias across the country.  <br><br> Unlike a knife, the knork cuts through food with a rocking motion which is facilitated by a finger platform on both sides of the handle. Knorks are symmetric and can be used by both left-handers and right-handers. 	The KNORK® can be used as an eating aid for people with disabilities. 	Knorks are symmetric and can be used by both left-handers and right-handers.	Gain increased independence by using the KNORK®.																						knork, eating knork, knorks for in home care, stroke, feeding elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, utensils, devices, supplies, fork, knife, bedridden, knork flatware, silverware			Caregiver Eating Utensils;L;/site/270651/page/911643	No Tip Cup Holder;P;CFP191	Eating Clothing Protector;P;CDM6029				N	21.95	17.95	T	F	F	F	0.00
CK087	Premium Plastic 4 Pack Knorks	Premium plastic Knork construction is the strongest and most durable grade in the industry.	F	0	0	0		/members/270651/uploaded/knork-plastic.gif				Re-usable and dishwasher safe.	The four Premium Plastic Knorks® included in this set are full 7" dinnerware size. Their premium plastic construction is the strongest and most durable grade in the industry, making them re-usable and dishwasher safe. Their Vivid Red shade adds a splash of color and fun to indoor or outdoor tables. These Knorks® are perfect to tote along to picnics, campsites, restaurants and on travel.	Full 7 inch dinnerware size.	Re-usable and dishwasher safe.																							plastic knork, premium plastic knorks, plastic knorks for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric caregiver aids, utensils, devices, supplies, bedridden, care giving, knork flatware, silverware			No Spill Kennedy Cup;P;CPS100	Caregiver Eating Utensils;L;/site/270651/page/911643	No Slip Bowl;P;CFP151				N	2.95	0.00	T	F	F	F	0.00
CKE11201	Youth Weighted Fork	Features built up handle to aid in grasping the utensil.	F	0	0	0		/members/270651/uploaded/CKE11201YouthWeightedFork-1W.JPG				Features built up handle to aid in grasping the utensil.	The <b>Youth Weighted Fork</b> is sized for young hands to help them get a better grip. Weight is added to the eating utensil to help children with tremors or shaky hands. The weighted fork also helps assist in stabilizing hand tremors to promote self feeding.	Built up handle aids in grasping.	Assists in stabilizing hand tremors to promote self feeding. 	Dishwasher safe. 										Handle diameter: ;7/8 inch. 	Handle length: ;3 1/4 inches. 	Weight: ;4 ounces. 	Material:  ;stainless steel with textured vinyl coated handle.	Color: ;gray. 								youth weighted fork, weighted fork, weighted eating utensils, eating utensils with added weight, weighted fork for children, heavy fork, eating aids for children, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Weighted Utensils;L;/site/270651/page/917990/handicapped-products	Pen & Pencil Weight Kit;P;AKE40027	Large Universal Weighted Holder;P;CKE25042				N	11.95	0.00	T	F	F	F	0.00
CKE11203	Youth Weighted Teaspoon	Helps stabilize hand tremors to promote self feeding.	F	0	0	0		/members/270651/uploaded/CKE11201YouthWeightedTeaspoon-1W.jpg				Helps stabilize hand tremors to promote self feeding.	The <b>Youth Weighted Teaspoon</b> is designed for use by children with hand tremors or unsteady hands. Weight has been added to the adapted teaspoon to assist in stabilizing hand tremors to promote self feeding. The Weighted Teaspoon features a built up handle to aid in grasping.	Built up handles aid in grasping.	Assist in stabilizing hand tremors to promote self feeding.	Dishwasher safe.										Handle diameter:;7/8 inch.	Handle length:;3 1/4 inches.	Weight:;4 ounces.	Color:;gray.	Material:;stainless steel with textured vinyl coated handle.								youth weighted teaspoon, weighted teaspoon, weighted utensils for children, youth eating aids, weighted utensils for tremors, self feeding aids, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Portable Suction Pad Grab Bar;P;CBC201	Twist N Write Pencil 4 Pack;P;APW0071	Weighted Utensils;L;/site/270651/page/917990/handicapped-products				N	11.95	0.00	T	F	F	F	0.00
CKE11211	Left Hand Weighted Youth Fork	The Left Hand Weighted Youth Fork is positioned at a fixed 45 degree angle with an additional 4 ounces of weight to aid with tremors or shaky grasps.	F	0	0	0		/members/270651/uploaded/cke11211-youth-wtd-angled-left-fork.jpg				The Left Hand Weighted Youth Fork is positioned at a fixed 45 degree angle with an additional 4 ounces of weight to aid with tremors or shaky grasps.	The <b> Left Hand Weighted Youth Fork</b> provides an angled fork and added weight for children with tremors, shaky grasps, or sensory disabilities requiring increased proprioceptive feedback. This adapted utensil is positioned at a fixed 45 degree angle for children with limited wrist range of motion. The additional 4 ounces of weight assists in stabilizing hand tremors and helps to promote self feeding for children.  The left hand model is shaped to turn in toward the center of the body. The built-up handle with textured vinyl provides a non-slip grip and is shaped to fit small hands.	Textured vinyl grip handle.	4 ounces additional weight helps to stabilize hand tremors.	Fixed 45 degree angle helps promote self feeding.										Handle diameter:;<sup>7</sup>&#8260;<sub>8</sub> inch.</li>	Handle length:;3 ¼ inches.	Weight:;4 oz.	Material:;stainless steel with textured vinyl handle.	Angle:;Fixed 45 degree for left hand.	Color:;gray.							youth utensil, youth angled fork, pediatric weighted angled fork, children weighted left hand fork, child utensil, child tremor utensil, kinsman 11211, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden 			Weighted Utensils;L;/site/270651/page/917990	Easie Eaters;P;AMS100	Universal Leather ADL Cuff with Elastic Strap;P;ASP148				N	12.95	0.00	T	F	F	F	0.00
CKE11213	Left Hand Weighted Youth Teaspoon	The Left Hand Weighted Youth Teaspoon is designed to help promote self feeding for children with tremors or shaky hands.	F	0	0	0		/members/270651/uploaded/cke11213-youth-wtd-angled-left-teaspoon.jpg				The Left Hand Weighted Youth Teaspoon is designed to help promote self feeding for children with tremors or shaky hands.	The <b>Left Hand Weighted Youth Teaspoon</b> has a fixed 45 degree angle and additional four ounces of weight. This adapted teaspoon is designed to help promote self feeding for children who need additional proprioceptive feedback. The additional four ounces of weight in the handle helps stabilize tremors or shaky hands. The built-up, textured vinyl handle provides a non-slip grip and is sized to fit small hands. This spoon is positioned for left hand users and is shaped to turn in toward the center of the body. The Youth Weighted Left Hand Teaspoon is dishwasher safe. 	Non-slip textured vinyl grip handle.	Fixed 45 degree angle left hand teaspoon helps promote self feeding.	Additional handle weight stabilizes hand shakiness.										Handle diameter:;<sup>7</sup>&frasl;<sub>8</sub> inch.	Handle length:;3 &frac14 inches.	Weight:;4 oz.	Angle:;Fixed 45 degree for left hand.	Material:;stainless steel with textured vinyl coated handle.	Color:;gray.							youth weighted angled left spoon, kinsman 11213, child with tremors, caregiving for children, youth left hand weighted spoon, care for child with tremors, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Weighted Utensils;L;/site/270651/page/917990	Make a Bib Clip and Cord;P;CMI738901	Freedom Non Skid Divided Plate with Suction Pad Ba;P;CFP171				N	12.95	0.00	T	F	F	F	0.00
CKE1179	K Eatlery Weighted Utensils	Provides heavy weight to steady the person's hand to allow them to eat.	F	0	0	0		/members/270651/uploaded/KEatleryWeightedUtensils117910.jpg		N=Choose utensil or set of 4:;C=Fork[I=*1];C=Knife[I=*2];C=Teaspoon[I=*3];C=Soup-spoon[I=*4];C=Set of Four[P=29.00,I=*5]		Provides heavy weight to steady the person's hand to allow them to eat.	The <b>K Eatlery Weighted Utensils</b> are weighted utensils that are functional and attractive. They provide heavy weight to steady a person's hand, helping them to eat. Stainless steel construction and dishwasher safe. Utensils weigh an average of 8.8 - 9.6 ounces each. <br><br> Choose from individual utensils or the Set of 4 (includes one of each : knife, fork, teaspoon and soup spoon).	Weighted utensils that are functional and attractive.	Utensils are weighted to steady a shaky hand.	Stainless steel construction.	Dishwasher safe.									Weight:;Between 8.8 - 9.6 ounces each.												weighted utensils, KEatlery, K Eatlery, weighted fork, weighted spoon, handicap utensils, disabled utensils, good grip utensils, good grips, parkinsons eating, elderly eating, geriatric eating, weighted spoon, weighted utensil, caregiver products, handicap eating, disabled eating			Eating Utensils;L;/site/270651/page/911643	Adult Bandana Bib;P;CAA100	No Tip Drink Holder;P;CFP131	Non Skid Divided Plate;P;CFP171			N	11.95	10.95	F	T	F	F	0.00
CKE15000	Rocker Knife	For those unable to use a knife and fork simultaneously because of Parkinson's, muscle weakness, or arthritis.	F	0	0	0		/members/270651/uploaded/Rocker_Knife_CKE_15000.jpg				Allows food to be cut by those with use of only one hand !!	For those unable to use a knife and fork simultaneously because of Parkinson's, muscle weakness, or arthritis, dinner time can be frustrating. Replace their regular knife with this handsome stainless steel <b>Rocker Knife</b>. <br><br> The specially-designed, curved blade rocker knife lets them cut their food using just one hand. Elegant, dishwasher safe, stainless steel rocker knife fits in with regular dinner flatware. <br><br> Designed for those persons with limited use of only one hand, this stainless steel knife, has curved blade which allows food to be cut with a rocking motion.  Blade measures 4 inches long, handle measures 4 1/4 inches long. Solid handle knife weighs 3 ounces.	Designed for those persons with limited use of only one hand.	Allows food to be cut with a rocking motion.											Blade measures:;4 inches long.	Handle measures:;4 1/4 inches long.	Weighs:;3 ounces.										rocker knife, rocking knife, one hand cutting, one handed cutting, adaptive utensils, Rocker Knives, Rocking T Knife, handicap utensils, weak hands, disability products,  disabled utensils, adaptive utensils, disabled knives, ergonomic knife, ergonomic knives, slicing knife			Table Top Nail Clipper;P;AMCPNC2	Autosqueeze Eye Drop Bottle Squeezer;P;AMI209	Eating Utensils;L;/site/270651/page/911643				N	8.95	0.00	T	F	F	F	0.00
CKE15005	Meat Cutter Rocker Knife	Allows for a rocking motion, making cutting meats and vegetables much easier.	F	0	0	0		/members/270651/uploaded/Meat_cutter_rocker_knife_CKE_15005.jpg				Allows for a rocking motion, making cutting meats and vegetables much easier.	The uniquely curved blade on the <b>Meat Cutter Rocker Knife</b> allows for a rocking motion, making cutting meats and vegetables much easier. <br><br> This is also a great kitchen utensil for those unable to perform the sawing motion of a knife, while holding the food with a fork. <br><br> Wooden handle, rounded safety point stainless steel blade. Dishwasher-safe. Meat Cutter Rocker Knife measures 8 1/2 inches long; blade measures 4 inches, handle measures 4 1/2 inches. Weighs 2.4 ounces.	Allows for a rocking motion to cut food.												Blade measures:;4 inches.	Handle measures:;4 1/2 inches.	Weighs:;2.4 ounces.										meat cutter rocker knife, rocker knife, rocking knife, one hand cutting, one handed cutting, adaptive utensils, Rocker Knives, Rocking T Knife, handicap utensils, weak hands, disability products, disabled utensils, adaptive utensils, disabled knives, ergonomic knife, ergonomic knives, slicing knife, caregiver, caregiving			Eating Utensils;L;/site/270651/page/911643	Good Grips Utensils;P;NC655	Zip Grips;P;CSP200				N	7.95	0.00	T	F	F	F	0.00
CKE1521	Clear Plate Guards	Prevents food from being pushed off the plate.	F	0	0	0		/members/270651/uploaded/K_Clear_Plate_Guard.jpg		N=Choose size;C=Large[I=*1];C=Small[P=4.00,I=*0]		Prevents food from being pushed off the plate.	The <b>Clear Polycarbonate Plate Guard</b> prevents food from being pushed off the plate. The high rim makes scooping food onto utensils easier. Great for individuals with low vision, use of only one hand or with tremors to keep food on plate. Internal groove attaches to the rim of the plate.  The 1 1/4 in. plastic rail is dishwasher safe. <br><br> CKE 15211 <b>Large</b> Clear Plate Guard fits onto plates with diameter of 8 to 9 inches. <br><br> CKE 15210 <b>Small</b> Clear Plate Guard fits onto plates with diameter of 6 to 8 inches.	Prevents food from being pushed off the plate.												Small fits:;plates 6 - 8 inches	Large fits:;plates 8 - 9 inches											clear plate guard, clear plate guards, plate guard, plate guards, plate bumper, plate bumpers, food bumper, food bumpers, scooper plate, scooper bowl, caregiver products, parkinson's eating, elderly feeding, geriatric eating, handicapped feeding, disabled eating, care giving aids, caregiver aids, for in home care, bedridden			Adult Bandana Bib;P;CAA100	Freedom Drink Holder;P;CFP131	Plates, Plate Guards, and Bowls;L;/site/270651/page/911594				N	9.95	0.00	T	F	F	F	0.00
CKE154	Extra Large Clear Plate Guard	Provides a barrier to push food against.	F	0	0	0		/members/270651/uploaded/cke154-clear-plate-guard-xl.jpg				Provides a barrier to push food against.	<b>The Extra Large Clear Plate Guard</b> is made of a heavy duty clear plastic which fits plates up to 10 inches in diameter. This clear plate guard provides a barrier for a person to push their food against, and can be used discreetly while dining out. <br><br> Attach the guard to the plate by stretching open the plate guard, and place the rim of the plate into the "V" shaped groove of the plate guard. This type of attachment prevents food and liquids from going between the guard and the plate. The plate guard can easily be removed for cleaning, and is dishwasher safe up to 125 degrees F.	Dining aid for people who have difficulty keeping food on the plate.	Easily removed and cleaned.	Securely attaches to prevent liquids from going between the guard and the plate.	Can be used discreetly while dining out.	Heavy duty, extra large model resists breaking.								Materials:;Clear high temperature polycarbonate plastic.	Measures:; 1 1/4 inches high.	Fits:;Plates up to 10 inch diameter.	Cleaning:;Dishwasher safe.	Made in:;USA.								plastic plate guard, slip on plate guard, clear food bumber, food guard, extra large plate guard, clear plate guard, dining aid, food bumper, heavy duty plate guard, adapted plates, eating help, handicap plate, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Plates, Plate Guards and Bowls;L;/site/270651/page/911594	Freedom Non Skid Scoop Plate;P;CFP161	Good Grips Utensils;P;NC655				N	15.95	0.00	T	F	F	F	0.00
CKE160	Weighted Insulated Cups	Keeps food and drink warm or cold.	F	0	0	0		/members/270651/uploaded/Insulated_Cup_w__No_Spill_CKE_16042.jpg		N=Choose lid:;C=Cup with anti-splash lid[I=*42];C=Cup with spout lid[P=2.00,I=*43]		Keeps food and drink warm or cold.	The <b>Weighted Insulated Cup</b> keeps the hot liquids hot, or the cold liquids cold. Weight has been added internally in the base to reduce tremors of the hand commonly associated with persons having Parkinson's disease and other illnesses or injuries that cause tremors. Blue cup holds up to 8 oz.  Weighs 8.4 oz.  Latex free.   <br><br> Choose from Weighted Insulated Cup with anti-splash lid, or Weighted Insulated Cup with spout lid.  <br><br> The <b>Anti-splash Lid</b> helps prevent spills and keeps the liquid from splashing out of the cup while drinking. The Lid is constructed of white plastic. <br><br> The <b>Spouted Lid</b> helps direct the liquid straight into the mouth and is great for sipping. The Lid is constructed of white plastic.  <br><br> ** DO NOT MICROWAVE **	Keeps food and drink warm or cold.												Weighs:;8.4 oz.	Holds:;8 oz.	Do NOT:;Microwave.										weighted mug, weighted cup, insulated mug, insulated cup, spill proof cups, spill proof cup, mug, feeding spout, adaptive drinking cups, anti-splash lid, cup with handle, caregiver products, Parkinson’s, elderly drinking aids, elderly eating, handicap drinking, disabled drinking, geriatric, for in home care			Cups, Mugs, and Straws;L;/site/270651/page/911658	Weighted No Tip Drink Holder;P;CFP131	Freedom Wheelchair Cup Holder;P;CFP181	Non Skid Divided Plate;P;CFP171			N	20.95	0.00	T	F	F	F	0.00
CKE16002	Nosey Glass	Nosey Glass allows drinking without bending the neck	F	0	0	0		/members/270651/uploaded/K_Nosey_glass_16002.jpg				Nosey Glass allows drinking without bending the neck.	The <b>Nosey Glass</b> features a contoured shape and slightly textured surface that provides a steadier grip.  <br><br> The nosey glass has a cut out for the nose that allows drinking without bending the neck or tilting the head. <br><br>	Cut out for the nose.	Allows drinking without bending the neck or tilting the head.	Translucent plastic allows monitoring of liquids.	Dishwasher safe.									Capacity:;8 oz.												nosey glass, nosey cup, swallowing difficulties, dysphagia, dysphagia cup, ergonomic nosey cup, whip lash cup, neck injury cup, care giving, for in home care, stroke, elderly, bedridden, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies			Freedom Wheelchair Cup Holder;P;CFP181	Freedom Drink Holder;P;CFP131	Cups, Mugs, and Straws;L;/site/270651/page/911658				N	5.95	0.00	T	F	F	F	0.00
CKE16021	Weighted Insulated Mug	Helps individuals with hand tremors.	F	0	0	0		/members/270651/uploaded/Insulated_Mug_Grey_CKE_16020.jpg				Helps individuals with hand tremors.	The <b>Weighted Insulated Mugs</b> are for individuals with hand tremors. Polypropylene weighted mug with an easy to grasp handle. <br><br>Use weighted mug for either hot or cold liquids.  Lid regulates flow of liquids. Dishwasher safe up to 180 F.  Latex free. Holds 12 oz. Granite colored insulated weighted mug weighs 11.4 oz. Detachable lid. <br><br> Replacement lids are available. <br><br> Not microwaveable.	Weighted mug helps stabilize hand tremors.	Use weighted mug for either hot or cold liquids.	Lid regulates flow of liquids.	Easy to grasp handle.									Weighs:;11.4 oz.	Holds:;12 oz.	Do not: ;Microwave.										weighted mug, weighted cup, insulated mug, insulated weighted cup, spill proof cups, spill proof cup, mug, feeding spout, stabilizes hand tremors, tremor, adaptive drinking cups, anti-splash lid, cup with handle, caregiver products, Parkinson’s, elderly drinking aids, geriatric, handicap drinking, disabled drinking, in home care, bedridden			Freedom Wheelchair Cup Holder;P;CFP181	Weighted No Tip Drink Holder;P;CFP131	Cups, Mugs, and Straws;L;/site/270651/page/911658	Non Skid Divided Plate;P;CFP171			N	18.95	0.00	T	F	F	F	0.00
CKE1603	Insulated Cup	Insulated cup helps keep food and drink warm or cold.	F	0	0	0		/members/270651/uploaded/insulated-cup.jpg		N=Choose Lid;C=No Spill Lid[I=*1];C=Spouted Lid[I=*2]		Insulated cup helps keep food and drink warm or cold.	The <b>Insulated Cup</b> helps keep food and drink warm or cold. 8 oz capacity. Choose from spouted lid or no-spill lid. Microwave safe. <br><br> CKE16031 Insulated cup with no-spill lid.<br> CKE16032 Insulated cup with spout lid.	Helps keep food and drink warm or cold longer.												Capacity:;8 oz.												insulated cup, insulated cups, insulated mug, insulated mugs, in home care, stroke, elderly, Parkinson's, disabled, handicapped,geriatric, caregiver, aids, bedridden			Cups, Mugs and Straws;L;/site/270651/page/911658	Built up handle Utensils;P;CMI7462	No Spill Cup Holder;P;CFP131				N	10.95	0.00	T	F	F	F	0.00
CKE16033	Insulated Bowl	Keeps food or drink warm or cold	F	0	0	0		/members/270651/uploaded/Weighted_Bowl_CKE_6044.jpg				Keeps food or drink warm or cold !	The <b>Insulated Bowl</b> helps keep food or drink warm or cold longer.  Great for those who need a little extra time to finish meals. <br><br> Optional disposable lid available separately. <br><br>	High impact plastic. 	Keeps your food warmer or colder longer.											Height: ;2 3/4 inch. 	Diameter: ;4 1/2 inch. 	Holds: ;12 oz.										insulated bowl, weighted bowl, elderly eating, geriatric eating, insulated cup, tremors help, parkinsons products, parkinsons aids, caregiver aids, caregiver products, parkinson's, elderly, geriatric, bedridden			Disposable Lids for Bowls;P;CKE16039	Plates, Plate Guards, and Bowls;L;/site/270651/page/911594	Non Skid Snack Bowl;P;CFP151	No Tip Drink Holder;P;CFP131	Adult Bandana Bib;P;CAA100		N	9.95	0.00	T	F	F	F	0.00
CKE16039	Disposable Lids for Bowls	Lids for Insulated Bowl and Insulated Weighted Bowl.	F	0	0	0		/members/270651/uploaded/Weighted_Bowl_w_lid_CKE_16044.jpg				Lids for Insulated Bowl and Insulated Weighted Bowl.	<b>Disposable Lids</b> for Insulated Bowl and Insulated Weighted Bowl. Package of 20. (Bowl not included.)													Package:;20												disposable lids for bowls, disposable lids, insulated bowl, weighted bowl, elderly eating, geriatric eating, insulated cup, tremors help, parkinsons products, parkinsons aids, caregiver aids, caregiver products, bedridden			Insulated Weighted Bowl;P;CKE16044	Non Skid Divide Plate;P;CFP171	No Tip Drink Holder;P;CFP131	Insulated Bowl;P;CKE16033	Plates, Plate Guards, and Bowls;L;/site/270651/page/911594		N	4.95	0.00	T	F	F	F	0.00
CKE16044	Insulated Weighted Bowl	Features added weight to help reduce tremors.	F	0	0	0		/members/270651/uploaded/Weighted_Bowl_CKE_6044.jpg				Features added weight to help reduce tremors.	The <b>Insulated Weighted Bowl</b> is insulated to keep food and drink warm or cold.  Weight has been added internally to the base to reduce tremors of the hand commonly associated with persons having Parkinson's disease and other illnesses or injuries that cause tremors. Insulated Weighted Bowl has a 12 oz capacity and weighs 15.5 oz.  Disposable lids available separately. <br><br> ** DO NOT MICROWAVE **	Insulated to keep food warm or cold.	Weighted to help reduce tremors.											Capacity:;12 ounces	Weight:;15.5 oz.	Diameter:;4 1/2 inch	Height:;2 3/4 inch									insulated weighted bowl, insulated bowl, weighted bowl, insulated bowls, weighted bowls, elderly eating, geriatric eating, insulated cup, tremors help, parkinsons products, parkinsons aids, caregiver aids, products, parkinson's, care giving			Disposable Lids for Bowls;P;CKE16039	Plates, Plate Guards, and Bowls;L;/site/270651/page/911594	Non Skid Bowl;P;CFP151	Weighted No Tip Drink Holder;P;CFP131	Non Skid Divided Plate;P;CFP171		N	20.95	0.00	T	F	F	F	0.00
CKE25042	Large Universal Weighted Holder	Designed to hold a toothbrush or disposable razor.	F	0	0	0		/members/270651/uploaded/Univ._holder_KE_250420.jpg				Designed to hold a toothbrush or disposable razor.	The <b>Large Weighted Universal Holder</b> is designed to hold a toothbrush or disposable razor.  It weighs approximately 7 ounces and includes an Allen wrench.  Weighted holder has 3 set screws that tighten in a triangular pattern to secure most objects up to a maximum of 1/2 inch in diameter.  <br><br> Overall diameter is 1 1/8 inches, and 5 1/4 inches in length. The toothbrush shown is an Oral B and the disposable razor is the Gillette Trac II. (Toothbrush and Razor not included.)	Designed to hold a toothbrush or disposable razor.	Big grip is easy to hold! 											Weighs;7 oz.	Diameter;1 1/8 inches	Length;5 1/4 inches	Will hold objects: ;up to a maximum 1/2 in. diameter. 									toothbrush holder, disposable razor holder, hold toothbrush, hold razor			Weighted Eating Utensils;P;CKE1179	Adult Bandana Bib;P;CAA100	Bathroom Utensil Holders;L;/site/270651/page/911744	Sock Aid;P;AMCSA			N	24.95	0.00	T	F	F	F	0.00
CKE2520	Utensil Holder	Sewn in utensil pocket holds and positions utensil.	F	0	0	0		/members/270651/uploaded/K_utensil_holder.jpg		N=Choose size;C=Beige Small/Medium[I=*10000];C=Navy Large/X Large[I=*10015]		Sewn in utensil pocket holds and positions utensil.	Easy to clean polypropylene webbing <b>Utensil Holder</b> with a utensil pocket. Adjusts by a hook-and-loop closure with "D" ring thumb loop. The utensil holder is designed to slip comfortably on and off for increased independence when dining.  Sewn in utensil pocket holds and positions utensil. <br><br> The <b>utensil holder</b> is ideal for persons with limited hand function. <br><br> Measure hand across top of knuckles. <br><br> CKE 2520-10000 Small/Medium Beige fits 3 1/2 to 4 1/2 inches.<br> CKE 2520-10015 Large/XLarge Navy fits 4 1/2 to 4 3/4 inches.	Sewn in utensil pocket holds and positions utensil.												Small/Medium Beige:;fits 3 1/2 to 4 1/2 inches	Large/XLarge Navy:;fits 4 1/2 to 4 3/4 inches.											utensil holder, utensil strap, universal holder, universal strap, utensil positioning, caregiver products, Parkinson’s eating, elderly eating, elderly eating, geriatric eating, for in home care, bedridden, stroke, handicapped, disabled utensil holder			Good Grips Utensils;P;NC655	Large Universal Weighted Holder;P;CKE25042	Eating Utensil Holders;L;/site/270651/page/911595				N	5.95	0.00	T	F	F	F	0.00
CKE30505	Weighted Button Aid	Assists in stabilizing the hand.	F	0	0	0		/members/270651/uploaded/Weighted_30505.jpg				Assists in stabilizing the hand.	The <b>Weighted Button Aid</b> features a plastic handle designed with finger grips to improve grasp. The added internal weight assists in stabilizing the hand of those persons with unsteady hands or tremors due to Parkinson's.	Assists in stabilizing the hand of those persons with unsteady hands or tremors.												Measures:;1 1/8 x 7 1/2 inches long.	Weighs:;8 oz.											weighted button aid, button aid, buttoning aid, steady hand, adaptive clothing, tremors help, help button, Parkinson’s products, parkinsons aids, stroke products, stroke victim, for in home care, stroke, elderly, bedridden, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies			Weighted No Tip Drink Holder;P;CFP131	Dressing Aids;L;/site/270651/page/911759	Non Slip Divided Plate;P;CFP171				N	12.95	0.00	T	F	F	F	0.00
